sample_SRR13255798	sample_SRR13255824	sample_SRR13255827	sample_SRR13255871	sample_SRR13255875	sample_SRR13255897	sample_SRR13255903	sample_SRR13255906
ENSMOCG00000000285	36.9299	51.3496	55.5643	49.8983	47.1101	42.2625	51.3357	48.1966
ENSMOCG00000000286	6.30133	8.59243	10.5095	7.1901	6.65509	7.62541	6.93563	7.08016
ENSMOCG00000000287	22.89397	11.68658	11.43374	16.09099	13.00421	20.04912	17.61306	16.55125
ENSMOCG00000000288	27.432	18.5098	19.8667	19.2115	21.7709	23.8741	24.1737	23.0098
ENSMOCG00000000289	349.882	357.055	281.384	228.096	279.675	306.855	342.5	251.928
ENSMOCG00000000290	30.9362	34.3714	28.4154	26.7209	25.3207	29.1599	32.8623	28.2798
ENSMOCG00000000291	16.8365	36.5917	22.1119	16.3242	26.7703	18.4275	17.1659	20.5753
ENSMOCG00000000292	16.3509	19.4945	21.94	18.8338	15.1768	13.4894	18.4584	12.9683
ENSMOCG00000000293	28.3232	55.1956	39.4122	8.16129	4.6762	5.10829	39.1059	29.7228
ENSMOCG00000000294	0	0	0	0	0	0	0	0
ENSMOCG00000000295	18.6922	34.6302	32.711	22.4385	19.1788	23.4894	23.1768	22.7264
ENSMOCG00000000296	39.1543	56.6525	52.9915	49.8625	57.3366	40.0163	48.6505	49.372
ENSMOCG00000000297	4.05796	4.91577	6.82316	6.0384	3.99053	4.96461	5.56194	5.77081
ENSMOCG00000000298	45.20731	66.8011	73.8259	63.38136	59.59888	46.01706	56.11641	55.11616
ENSMOCG00000000299	0.861622	0.941852	1.63766	0.544729	0.468899	0.21455907679	0.549748	0.34494928966
ENSMOCG00000000300	19.173003	26.040405	26.35901	19.7066	18.506752	20.85169	19.625684	19.21277
ENSMOCG00000000301	59.8222	44.1285	68.2037	84.8681	66.8185	66.4534	72.3636	60.2918
ENSMOCG00000000302	0	0.0843129	0	0	0	0.126836	0	0
ENSMOCG00000000303	0	0.124404	0.0801147	0	0	0	0	0.0644739
ENSMOCG00000000304	54.4419	48.4956	50.2943	49.6935	44.4657	53.8481	52.5022	52.1027
